technology,date,suggestion
Machine image pipelines,Jan 2015,Assess
Machine image pipelines,Jul 2014,Assess
iPhone,Aug 2010,Adopt
iPhone,Apr 2010,Adopt
iPhone,Jan 2010,Adopt
Julia,Jul 2014,Assess
Julia,Jan 2014,Assess
Instrument all the things,Jan 2014,Trial
Mechanical sympathy,Mar 2012,Assess
Lean software development,Apr 2010,Trial
Lean software development,Jan 2010,Trial
JSONassert,Nov 2016,Trial
Living CSS Style Guides,Jan 2015,Trial
Living CSS Style Guides,Jul 2014,Trial
Machine image as a build artifact,Jul 2014,Trial
Machine image as a build artifact,Jan 2014,Assess
Machine image as a build artifact,May 2013,Assess
Java language end of life,Jan 2011,Assess
Java language end of life,Aug 2010,Assess
Java language end of life,Apr 2010,Assess
Java language end of life,Jan 2010,Assess
Jasmine paired with Node.js,May 2013,Adopt
Jasmine paired with Node.js,Oct 2012,Adopt
Logs as data,May 2013,Trial
Logs as data,Oct 2012,Trial
Infrastructure automation of development workstations,Oct 2012,Trial
Infrastructure automation of development workstations,Mar 2012,Trial
Intentional Software,Aug 2010,Hold
JavaScript as a platform,May 2013,Trial
JavaScript as a platform,Oct 2012,Assess
Log aggregation & indexing,Mar 2012,Trial
Lotus,May 2015,Assess
Lotus,Jan 2015,Assess
Logic in stored procedures,May 2013,Hold
Logic in stored procedures,Oct 2012,Hold
Logic in stored procedures,Mar 2012,Hold
Logic in stored procedures,Jul 2011,Hold
Ionic Framework,May 2015,Trial
Ionic Framework,Jan 2015,Trial
Lightweight Architecture Decision Records,Nov 2016,Trial
Java portal servers,Oct 2012,Hold
Java portal servers,Mar 2012,Hold
Java portal servers,Jul 2011,Hold
IndexedDB,Nov 2015,Trial
IndexedDB,May 2015,Trial
IndexedDB,Jan 2015,Trial
JavaScript micro frameworks,Oct 2012,Trial
JavaScript micro frameworks,Mar 2012,Trial
Mobile payment systems,Oct 2012,Adopt
JSF,May 2015,Hold
JSF,Jan 2015,Hold
JSF,Jul 2014,Hold
JSF,Jan 2014,Hold
leaflet.js,Jan 2015,Assess
leaflet.js,Jul 2014,Assess
JVM as platform,Aug 2010,Adopt
JVM as platform,Apr 2010,Adopt
JVM as platform,Jan 2010,Adopt
Logic-free markup,Oct 2012,Assess
Logic-free markup,Mar 2012,Assess
Low-cost robotics,Jul 2014,Assess
Low-cost robotics,Jan 2014,Assess
Logstash & Graylog2,Jan 2014,Trial
Logstash & Graylog2,May 2013,Trial
Material UI,Nov 2015,Assess
Masterless Chef/Puppet,Jul 2014,Trial
Masterless Chef/Puppet,Jan 2014,Trial
JSPatch,Nov 2016,Hold
JSPatch,Apr 2016,Hold
Locust,May 2013,Trial
Locust,Oct 2012,Trial
Load Impact,Nov 2016,Trial
Load Impact,Apr 2016,Trial
Neo4J,Jan 2014,Adopt
Neo4J,May 2013,Adopt
Neo4J,Oct 2012,Adopt
Neo4J,Aug 2010,Trial
Neo4J,Apr 2010,Trial
OAuth,Jul 2011,Assess
OAuth,Jan 2011,Assess
OAuth,Aug 2010,Assess
OAuth,Apr 2010,Assess
Mercurial,Jul 2011,Trial
Mercurial,Jan 2011,Trial
Mercurial,Aug 2010,Trial
OpenID Connect,Jan 2015,Assess
OpenID Connect,Jul 2014,Assess
Minimizing application configuration,May 2013,Assess
JavaScript tooling,Mar 2012,Trial
Nashorn,May 2015,Trial
Nashorn,Jan 2015,Trial
Manual infrastructure management,Mar 2012,Hold
Manual infrastructure management,Jul 2011,Hold
Offline first web applications,Nov 2015,Trial
Offline first web applications,May 2015,Trial
Maven,May 2013,Hold
Maven,Oct 2012,Hold
Maven,Mar 2012,Hold
Mobile testing on mobile networks,Jan 2014,Adopt
Mobile testing on mobile networks,May 2013,Adopt
Open source IaaS,Oct 2012,Assess
New Relic beyond Rails,Jul 2011,Trial
Mapbox,Jan 2015,Assess
Mapbox,Jul 2014,Assess
OSGi,May 2015,Hold
OSGi,Jan 2015,Hold
OSGi,Jul 2014,Hold
Octopus,Jan 2014,Assess
Octopus,May 2013,Assess
Packetbeat,May 2015,Assess
Packetbeat,Jan 2015,Assess
Mobile web,Mar 2012,Adopt
Mobile web,Jul 2011,Adopt
Mobile web,Jan 2011,Trial
Mobile web,Aug 2010,Assess
Mobile web,Apr 2010,Assess
OpenStack,Jan 2014,Trial
OpenStack,May 2013,Trial
OpenStack,Jul 2011,Assess
OpenStack,Jan 2011,Assess
NuGet,May 2013,Adopt
NuGet,Oct 2012,Trial
NuGet,Mar 2012,Trial
Perimeterless enterprise,Jul 2014,Trial
Perimeterless enterprise,Jan 2014,Trial
